date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:30	765/765	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202005%2014:24:30%20GMT	www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/index.html	(from )
15:24:33	158/158	---M--	200	added ('OK')	text/plain	etag:%224c8af49fc782c31:94c%22	www.naturesbounty.com/robots.txt		(from )
15:24:33	981/981	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202005%2014:24:34%20GMT	www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/)
15:24:33	1208/1208	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202005%2014:24:34%20GMT	www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Sidebar.htm	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Sidebar.htm	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/)
15:24:34	83/83	---M--	200	added ('OK')	image/gif	etag:%2230789db54c59c41:94c%22	www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_tile1.gif	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_tile1.gif	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm)
15:24:34	92/92	---M--	200	added ('OK')	image/gif	etag:%22744ed4b54c59c41:94c%22	www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_tile2.gif	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_tile2.gif	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm)
15:24:35	1263/1263	---M--	200	added ('OK')	image/gif	etag:%22c82184b44c59c41:94c%22	www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_BtnStart-es.gif	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_BtnStart-es.gif	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm)
15:24:36	73914/73914	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202005%2014:24:34%20GMT	www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/Index/Es-Concern.htm	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/Index/Es-Concern.htm	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/)
15:24:37	508/508	---M--	200	added ('OK')	image/gif	etag:%22f4d456b44c59c41:94c%22	www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_Btnlanguage.gif	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/Images/healthnotes_images/HN_TopNav_Btnlanguage.gif	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Bottombar.htm)
15:24:37	1341/1341	---M--	200	added ('OK')	text/css	etag:%22d4adbe59a657c41:94c%22	www.naturesbounty.com/css/HNIndex.css	C:/Documents%20and%20Settings/pc/Escritorio/Naturopias/HealthNotes/www.naturesbounty.com/css/HNIndex.css	(from www.naturesbounty.com/vf/healthnotes/HN_Live/Spanish/!Dev/Sidebar.htm)
